"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Galerucella nymphaeae",Galerucella,Galerucini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Åkandebille,Bladbiller,
"Galerucella pusilla",Galerucella,Galerucini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Duftschmid, 1825)",,Bladbiller,
"Galerucella tenella",Galerucella,Galerucini,Galerucinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1760)",Jordbærbladbille,Bladbiller,
"Gastrallus immarginatus",Gastrallus,Gastrallini,Anobiinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Müller, 1821)",,Borebiller,
"Gastrophysa polygoni",Gastrophysa,Chrysomelini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",Pileurtbladbille,Bladbiller,
"Gastrophysa viridula",Gastrophysa,Chrysomelini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Degeer, 1775)",Skræppebladbille,Bladbiller,
"Gauropterus fulgidus",Gauropterus,Xantholinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1787)",,Rovbiller,
"Gaurotes virginea",Gaurotes,Lepturini,Lepturinae,Cerambycidae,Chrysomeloidea,Coleoptera,http://www.fugleognatur.dk/artintro.asp?ID=18079,,Nej,"(Linné, 1758)",,Træbukke,
"Geodromicus plagiatus",Geodromicus,Anthophagini,Omaliinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1798)",,Rovbiller,
"Georissus crenulatus",Georissus,,Hydrochinae,Georissidae,Hydrophiloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Rossi, 1794)",,,
"Geostiba circellaris",Geostiba,Athetini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Geotrupes spiniger",Geotrupes,Geotrupini,Geotrupinae,Geotrupidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NT,Ja,"(Marsham, 1802)",Markskarnbasse,Torbister,
"Geotrupes stercorarius",Geotrupes,Geotrupini,Geotrupinae,Geotrupidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"(Linnaeus, 1758)",Overdrevsskarnbasse,Torbister,
"Gibbium psylloides",Gibbium,,Globiinae,Ptinidae,,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Czempinski, 1778)","Rund tyvbille",Borebiller,
"Glaphyra umbellatarum",Glaphyra,Molorchini,Cerambycinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Schreber, 1759)","Lille fluebuk",Træbukke,
"Glischrochilus hortensis",Glischrochilus,Cryptarchini,Cryptarchinae,Nitidulidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Geoffroy, 1785)",,Glansbiller,
"Glischrochilus quadriguttatus",Glischrochilus,Cryptarchini,Cryptarchinae,Nitidulidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1777)","Fireplettet glansbille",Glansbiller,
"Glischrochilus quadripunctatus",Glischrochilus,Cryptarchini,Cryptarchinae,Nitidulidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,Glansbiller,
"Glischrochilus quadrisignatus",Glischrochilus,Cryptarchini,Cryptarchinae,Nitidulidae,Cucujoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Say, 1835)",,Glansbiller,
"Globicornis corticalis",Globicornis,Megatomini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Eichhoff, 1863)",,Klannere,
"Globicornis emarginata",Globicornis,Megatomini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Gyllenhal, 1808)",,Klannere,marginata
"Globicornis fasciata",Globicornis,Megatomini,Megatominae,Dermestidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",VU,Ja,"(Fairmaire & Brisout de Barneville, 1859)",,Klannere,
"Gnathoncus buyssoni",Gnathoncus,Saprini,Saprininae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Auzat, 1917",,Stumpbiller,
"Gnathoncus communis",Gnathoncus,Saprini,Saprininae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marseul, 1862)",,Stumpbiller,schmidti
"Gnathoncus nannetensis",Gnathoncus,Saprini,Saprininae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marseul, 1862)",,Stumpbiller,
"Gnathoncus rotundatus",Gnathoncus,Saprini,Saprininae,Histeridae,Histeroidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Kugelann, 1792)","Brunbenet rundstumpbille",Stumpbiller,nanus
"Gnatocerus cornutus",Gnatocerus,Diaperini,Diaperinae,Tenebrionidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",NE,Ja,"(Fabricius, 1798)","Hornet melbille",Skyggebiller,
"Gnorimus nobilis",Gnorimus,Trichiini,Cetoniinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Linnaeus, 1758)","Grøn pragttorbist",Torbister,
"Gnorimus variabilis",Gnorimus,Trichiini,Cetoniinae,Scarabaeidae,Scarabaeoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"(Linnaeus, 1758)","Sort pragttorbist",Torbister,octopunctatus
"Gnypeta carbonaria",Gnypeta,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Mannerheim, 1830)",,Rovbiller,
"Gnypeta ripicola",Gnypeta,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Kiesenwetter, 1844)",,Rovbiller,
"Gnypeta rubrior",Gnypeta,Oxypodini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Tottenham, 1939",,Rovbiller,
"Gonioctena decemnotata",Gonioctena,Gonioctenini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Marsham, 1802)",,Bladbiller,rufipes
"Gonioctena olivacea",Gonioctena,Gonioctenini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Forster, 1771)",,Bladbiller,
"Gonioctena pallida",Gonioctena,Gonioctenini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)",,Bladbiller,
"Gonioctena quinquepunctata",Gonioctena,Gonioctenini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1787)",,Bladbiller,
"Gonioctena viminalis",Gonioctena,Gonioctenini,Chrysomelinae,Chrysomelidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1758)","Sortplettet pilebladbille",Bladbiller,
"Gonodera luperus",Gonodera,Alleculini,Alleculinae,Tenebrionidae,Tenebrionidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1783)",Blomsterskyggebille,Skyggebiller,
"Gracilia minuta",Gracilia,,,Cerambycidae,Chrysomeloidea,Coleoptera,"Ikke-hjemmehørende arter. Upubl. (excel-fil)",,Nej,"(Fabricius, 1781)",,Træbukke,
"Grammoptera abdominalis",Grammoptera,Lepturini,Lepturinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",RE,Ja,"(Stephens, 1831)","Rødbuget blomsterbuk",Træbukke,variegata
"Grammoptera ruficornis",Grammoptera,Lepturini,Lepturinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1781)","Lille blomsterbuk",Træbukke,
"Grammoptera ustulata",Grammoptera,Lepturini,Lepturinae,Cerambycidae,Chrysomeloidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Schaller, 1783)","Guldhåret blomsterbuk",Træbukke,
"Graphoderus austriacus",Graphoderus,Aciliini,Dytiscinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Sturm, 1834)",,Vandkalve,
"Graphoderus bilineatus",Graphoderus,Aciliini,Dytiscinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(De Geer, 1774)","Lys skivevandkalv",Vandkalve,
"Graphoderus cinereus",Graphoderus,Aciliini,Dytiscinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,Vandkalve,
"Graphoderus zonatus",Graphoderus,Aciliini,Dytiscinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Hoppe, 1795)",,Vandkalve,verrucifer
"Graptodytes bilineatus",Graptodytes,Hydroporini,Hydroporinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Sturm, 1835)",,Vandkalve,
"Graptodytes granularis",Graptodytes,Hydroporini,Hydroporinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1767)",,Vandkalve,
"Graptodytes pictus",Graptodytes,Hydroporini,Hydroporinae,Dytiscidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1787)",,Vandkalve,arcuatus
"Gronops inaequalis",Gronops,Rhythirrinini,Brachycerinae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Boheman, 1842",,Snudebiller,
"Gronops lunatus",Gronops,Rhythirrinini,Brachycerinae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1775)",,Snudebiller,
"Grynobius planus",Grynobius,Dryophilini,Dryophilinae,Ptinidae,Bostrichoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Fabricius, 1787)",,Borebiller,
"Grypus brunnirostris",Grypus,Erirhinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1792)",,Snudebiller,
"Grypus equiseti",Grypus,Erirhinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Fabricius, 1775)",Padderokkesnudebille,Snudebiller,
"Gymnetron antirrhini",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Paykull, 1800)",,Snudebiller,
"Gymnetron beccabungae",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Linnaeus, 1761)",,Snudebiller,
"Gymnetron collinum",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Gyllenhal, 1813)",,Snudebiller,
"Gymnetron hispidum",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",CR,Ja,"Brullé, 1832",,Snudebiller,
"Gymnetron labile",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1795)",,Snudebiller,
"Gymnetron linariae",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Panzer, 1793)",,Snudebiller,
"Gymnetron melanarium",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Germar, 1821)",,Snudebiller,
"Gymnetron melas",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Fund af biller i Danmark, 2005 (Coleoptera). Entomologiske Meddelelser 74: 107-134",,Ja,"Bohemann, 1838",,Snudebiller,
"Gymnetron pascuorum",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Gyllenhal, 1813)",,Snudebiller,
"Gymnetron rostellum",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Herbst, 1795)",,Snudebiller,
"Gymnetron tetrum",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Excel-version pr. 27-05-2013",NA,Nej,,,Snudebiller,
"Gymnetron thapsicola",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",EN,Ja,"(Germar, 1821)",,Snudebiller,
"Gymnetron veronicae",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"(Germar, 1821)",,Snudebiller,
"Gymnetron villosulum",Gymnetron,Mecinini,Curculioninae,Curculionidae,Curculionoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",LC,Ja,"Gyllenhal, 1838",,Snudebiller,
"Gymnusa brevicollis",Gymnusa,Gymnusini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1800)",,Rovbiller,
"Gyrinus aeratus",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1836",,Hvirvlere,thomsoni
"Gyrinus caspius",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Ménétriés, 1832",,Hvirvlere,celox
"Gyrinus colymbus",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1837",,Hvirvlere,strigulosus
"Gyrinus distinctus",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Aubé, 1866",,Hvirvlere,colymbus
"Gyrinus marinus",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Gyllenhal, 1808",,Hvirvlere,lembus
"Gyrinus minutus",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Fabricius, 1768",,Hvirvlere,
"Gyrinus natator",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,Hvirvlere,
"Gyrinus paykulli",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Ochs, 1927",,Hvirvlere,bicolor
"Gyrinus substriatus",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1828",,Hvirvlere,cercurus
"Gyrinus suffriani",Gyrinus,Gyrinini,Gyrininae,Gyrinidae,Caraboidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Scriba, 1855",,Hvirvlere,
"Gyrohypnus angustatus",Gyrohypnus,Xantholinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1833",,Rovbiller,
"Gyrohypnus atratus",Gyrohypnus,Xantholinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Heer, 1839)",,Rovbiller,
"Gyrohypnus fracticornis",Gyrohypnus,Xantholinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Müller, 1776)",,Rovbiller,
"Gyrohypnus punctulatus",Gyrohypnus,Xantholinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1789)",,Rovbiller,liebei
"Gyrophaena affinis",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Mannerheim, 1830",,Rovbiller,
"Gyrophaena bihamata",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Thomson, 1867",,Rovbiller,
"Gyrophaena boleti",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Linnaeus, 1758)",,Rovbiller,
"Gyrophaena congrua",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1837",,Rovbiller,
"Gyrophaena fasciata",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Marsham, 1802)",,Rovbiller,
"Gyrophaena gentilis",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1839",,Rovbiller,
"Gyrophaena hanseni",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Strand, 1946",,Rovbiller,
"Gyrophaena joyi",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Wendeler, 1924",,Rovbiller,
"Gyrophaena joyioides",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Wüsthoff, 1937",,Rovbiller,
"Gyrophaena lucidula",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1837",,Rovbiller,
"Gyrophaena manca",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1839",,Rovbiller,angustata
"Gyrophaena minima",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1837",,Rovbiller,
"Gyrophaena munsteri",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Strand, 1935",,Rovbiller,
"Gyrophaena nana",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Paykull, 1800)",,Rovbiller,
"Gyrophaena poweri",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Crotch, 1866",,Rovbiller,
"Gyrophaena pseudonana",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Strand, 1939",,Rovbiller,
"Gyrophaena pulchella",Gyrophaena,Homalotini,Aleocharinae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Heer, 1839",,Rovbiller,
