"Art (Niveau 1)","Slægt (Niveau 2)","Tribus (Niveau 3)","Underfamilie (Niveau 4)","Familie (Niveau 5)","Overfamilie (Niveau 6)","Orden (Niveau 7)",Referencetekst,Den_danske_roedliste,Dansk,Autor,Dansk_navn,Familie_dk,Synonymer
"Philonthus atratus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus binotatus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Philonthus carbonarius",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,varius
"Philonthus cognatus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1832",,Rovbiller,fuscipennis
"Philonthus concinnus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus confinis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Strand, 1941",,Rovbiller,
"Philonthus coprophilus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Fund af biller i Danmark, 2003 (Coleoptera). Entomologiske Meddelelser 72: 49-74",,Ja,"Jarrige, 1949",,Rovbiller,
"Philonthus corruscus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus corvinus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Erichson, 1839",,Rovbiller,
"Philonthus cruentatus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gmelin, 1790)",,Rovbiller,
"Philonthus debilis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus decorus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus discoideus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus ebeninus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus fumarius",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1806)",,Rovbiller,
"Philonthus furcifer",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Renkonen, 1937",,Rovbiller,
"Philonthus intermedius",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Lacordaire, 1835)",,Rovbiller,
"Philonthus jurgans",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Tottenham, 1937",,Rovbiller,
"Philonthus laminatus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Creutzer, 1799)",,Rovbiller,
"Philonthus lepidus",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"(Gravenhorst, 1802)",,Rovbiller,
"Philonthus longicornis",Philonthus,Staphylinini,Staphylininae,Staphylinidae,Staphylinoidea,Coleoptera,"Katalog over Danmarks biller (Catalogue of the Coleoptera of Denmark). Entomologiske Meddelelser 64: 1-231",,Ja,"Stephens, 1832",,Rovbiller,
